FusionCopyColor,NewColorName,Hex,R,G,B,A
Plastic - Glossy (White),BasicPLA (Jade White),#FFFFFF,255,255,255,0
Plastic - Glossy (White),BasicPLA (Beige),#F7E6DE,247,230,222,0
Plastic - Glossy (White),BasicPLA (Gold),#E4BD68,228,189,104,0
Plastic - Glossy (White),BasicPLA (Silver),#A6A9AA,166,169,170,0
Plastic - Glossy (White),BasicPLA (Gray),#8E9089,142,144,137,0
Plastic - Glossy (White),BasicPLA (Bronze),#847D48,132,125,72,0
Plastic - Glossy (White),BasicPLA (Brown),#9D432C,157,67,44,0
Plastic - Glossy (White),BasicPLA (Red),#C12E1F,193,46,31,0
Plastic - Glossy (White),BasicPLA (Magenta),#EC008C,236,0,140,0
Plastic - Glossy (White),BasicPLA (Pink),#F55A74,245,90,116,0
Plastic - Glossy (White),BasicPLA (Orange),#FF6A13,255,106,19,0
Plastic - Glossy (White),BasicPLA (Yellow),#F4EE2A,244,238,42,0
Plastic - Glossy (White),BasicPLA (Bambu Green),#00AE42,0,174,66,0
Plastic - Glossy (White),BasicPLA (Mistletoe Green),#3F8E43,63,142,67,0
Plastic - Glossy (White),BasicPLA (Cyan),#0086D6,0,134,214,0
Plastic - Glossy (White),BasicPLA (Blue),#0A2989,10,41,137,0
Plastic - Glossy (White),BasicPLA (Purple),#5E43B7,94,67,183,0
Plastic - Glossy (White),BasicPLA (Blue Gray),#5B6579,91,101,121,0
Plastic - Glossy (White),BasicPLA (Light Gray),#D1D3D5,209,211,213,0
Plastic - Glossy (White),BasicPLA (Dark Gray),#545454,84,84,84,0
Plastic - Glossy (White),BasicPLA (Black),#000000,0,0,0,0
