FusionCopyColor,NewColorName,Hex,R,G,B,A
Plastic - Translucent Matte (White),PETG-HF (Yellow),#FFD00B,255,208,11,0
Plastic - Translucent Matte (White),PETG-HF (Orange),#F75403,247,84,3,0
Plastic - Translucent Matte (White),PETG-HF (Green),#00AE42,0,174,66,0
Plastic - Translucent Matte (White),PETG-HF (Red),#EB3A3A,235,58,58,0
Plastic - Translucent Matte (White),PETG-HF (Blue),#002E96,0,46,150,0
Plastic - Translucent Matte (White),PETG-HF (Black),#000000,0,0,0,0
Plastic - Translucent Matte (White),PETG-HF (White),#FFFFFF,255,255,255,0
Plastic - Translucent Matte (White),PETG-HF (Cream),#F9DFB9,249,223,185,0
Plastic - Translucent Matte (White),PETG-HF (Lime Green),#6EE53C,110,229,60,0
Plastic - Translucent Matte (White),PETG-HF (Forest Green),#39541A,57,84,26,0
Plastic - Translucent Matte (White),PETG-HF (Lake Blue),#1F79E5,31,121,229,0
Plastic - Translucent Matte (White),PETG-HF (Peanut Brown),#875718,135,87,24,0
Plastic - Translucent Matte (White),PETG-HF (Gray),#ADB1B2,173,177,178,0
Plastic - Translucent Matte (White),PETG-HF (Dark Gray),#515151,81,81,81,0
