FusionCopyColor,NewColorName,Hex,R,G,B,A
Plastic - Matte (White),MattePLA (Ivory White),#FFFFFF,255,255,255,0
Plastic - Matte (White),MattePLA (Latte Brown),#D3B7A7,211,183,167,0
Plastic - Matte (White),MattePLA (Desert Tan),#E8DBB7,232,219,183,0
Plastic - Matte (White),MattePLA (Ash Gray),#9B9EA0,155,158,160,0
Plastic - Matte (White),MattePLA (Lilac Purple),#AE96D4,174,150,212,0
Plastic - Matte (White),MattePLA (Sakura Pink),#E8AFCF,232,175,207,0
Plastic - Matte (White),MattePLA (Mandarin Orange),#F99963,249,153,99,0
Plastic - Matte (White),MattePLA (Lemon Yellow),#F7D959,247,217,89,0
Plastic - Matte (White),MattePLA (Scarlet Red),#DE4343,222,67,67,0
Plastic - Matte (White),MattePLA (Dark Red),#BB3D43,187,61,67,0
Plastic - Matte (White),MattePLA (Dark Brown),#7D6556,125,101,86,0
Plastic - Matte (White),MattePLA (Dark Green),#68724D,104,114,77,0
Plastic - Matte (White),MattePLA (Grass Green),#61C680,97,198,128,0
Plastic - Matte (White),MattePLA (Ice Blue),#A3D8E1,163,216,225,0
Plastic - Matte (White),MattePLA (Marine Blue),#0078BF,0,120,191,0
Plastic - Matte (White),MattePLA (Dark Blue),#042F56,4,47,86,0
Plastic - Matte (White),MattePLA (Charcoal),#000000,0,0,0,0
